"Geography","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Cobourg (CA), Ontario","17,844","18,050","18,311","18,536","18,723","18,786","18,783","18,810","18,828","18,856","18,964","19,423","19,542","19,699","19,846","19,805","20,020","20,079","20,026","20,152"
"Port Hope (CA), Ontario","16,233","16,348","16,525","16,678","16,809","16,904","16,852","16,778","16,732","16,661","16,609","16,561","16,694","16,821","16,978","17,161","17,494","17,683","17,729","17,731"
"Kawartha Lakes (CA), Ontario","72,008","72,934","74,300","75,345","76,388","76,876","76,177","75,958","75,330","75,090","74,955","75,517","75,726","75,931","76,484","77,296","78,492","79,532","80,373","81,042"
"Centre Wellington (CA), Ontario","25,185","25,611","26,024","26,490","26,998","26,965","26,996","27,077","27,092","27,252","27,385","27,639","27,766","28,080","28,426","29,008","29,506","30,324","30,665","31,092"
"Ingersoll (CA), Ontario","11,430","11,554","11,723","11,864","12,055","12,208","12,204","12,263","12,316","12,393","12,507","12,665","12,733","12,788","12,950","13,128","13,367","13,694","13,871","14,029"
"Woodstock (CA), Ontario","34,998","35,389","35,909","36,331","36,880","37,215","37,351","37,735","37,949","38,393","38,894","39,972","40,474","41,185","41,493","42,104","43,093","44,342","45,391","46,464"
"Tillsonburg (CA), Ontario","14,593","14,724","14,903","15,047","15,240","15,329","15,341","15,406","15,449","15,580","15,686","16,117","16,133","16,216","16,168","16,228","16,647","16,804","17,220","17,660"
"Norfolk (CA), Ontario","63,211","63,669","64,059","64,500","64,764","64,775","64,615","64,776","64,803","64,809","64,722","64,434","64,260","64,482","65,286","66,064","67,019","68,922","70,062","70,489"
"Stratford (CA), Ontario","31,042","31,302","31,600","31,725","31,736","31,690","31,662","31,605","31,652","31,670","31,703","31,845","31,923","31,981","32,145","32,286","32,771","33,262","33,574","33,868"
"Chatham-Kent (CA), Ontario","111,909","111,618","111,799","111,785","112,463","112,357","111,170","109,964","108,767","107,512","106,670","106,000","105,490","105,149","104,521","104,771","105,259","105,756","106,033","106,620"
"Leamington (CA), Ontario","48,721","49,844","50,661","51,392","51,992","51,710","51,480","51,212","51,096","51,212","51,185","50,631","50,002","49,693","50,606","53,640","53,058","52,038","52,109","52,649"
"Sarnia (CA), Ontario","99,346","99,686","99,718","99,707","99,605","99,595","99,577","99,584","99,528","99,588","99,617","99,549","99,050","98,801","98,354","98,139","98,595","99,821","100,540","100,985"
"Wasaga Beach (CA), Ontario","12,899","13,566","14,213","14,777","15,263","15,504","15,972","16,500","16,972","17,474","17,964","18,651","19,245","19,888","20,488","21,111","22,054","22,624","23,088","23,475"
"Owen Sound (CA), Ontario","32,829","32,983","33,210","33,322","33,395","33,339","33,215","33,187","33,093","33,041","32,868","32,665","32,628","32,676","32,617","32,591","32,887","33,301","33,626","34,044"
"Collingwood (CA), Ontario","16,651","17,029","17,382","17,659","17,873","17,900","18,209","18,621","18,937","19,356","19,756","20,456","20,926","21,317","21,822","22,390","22,668","23,222","23,871","24,539"
"Orillia (CA), Ontario","30,221","30,575","30,916","31,181","31,404","31,334","31,374","31,396","31,330","31,408","31,423","31,793","31,700","32,049","32,118","31,937","32,577","32,950","33,474","34,002"
"Midland (CA), Ontario","34,934","35,485","36,012","36,429","36,765","36,657","36,531","36,498","36,370","36,333","36,304","36,132","36,207","36,286","36,463","36,812","38,042","38,817","39,416","39,971"
"North Bay (CA), Ontario","72,962","73,256","73,460","73,595","74,091","74,361","74,134","74,158","74,133","74,411","74,461","74,083","73,560","73,190","72,786","72,358","73,190","73,551","73,609","73,749"
"Elliot Lake (CA), Ontario","12,322","12,201","12,127","12,060","12,010","11,796","11,763","11,709","11,613","11,582","11,512","11,301","11,107","10,961","10,897","10,960","11,144","11,304","11,364","11,423"
"Timmins (CA), Ontario","45,901","45,321","44,952","44,820","44,691","44,606","44,514","44,343","44,290","44,361","44,373","44,323","44,165","43,782","43,174","42,922","42,659","42,550","42,927","42,948"
"Sault Ste. Marie (CA), Ontario","82,691","82,247","82,200","82,288","82,592","82,809","82,874","82,929","82,583","82,612","82,450","82,217","82,012","81,441","81,087","80,681","80,204","80,081","80,650","81,238"
"Kenora (CA), Ontario","16,448","16,408","16,417","16,316","16,112","15,733","15,608","15,619","15,726","15,756","15,734","15,699","15,571","15,602","15,621","15,553","15,855","15,869","15,881","15,772"
"Winkler (CA), Manitoba","19,878","20,306","20,856","21,462","22,080","22,824","23,955","25,115","26,330","26,899","27,457","28,217","28,982","29,506","30,275","31,317","31,898","32,719","33,523","34,325"
"Steinbach (CA), Manitoba","9,517","9,826","10,135","10,533","10,944","11,475","11,952","12,404","12,950","13,397","13,984","14,843","15,688","16,015","15,531","16,232","16,256","16,126","15,810","15,809"
